sentence,ic,ner
size 9 tuổi,inform,O B-inform#age I-inform#age
bé nhà mình cao 1m2,inform,O O O O B-inform#height
bé 9 tuổi 28kg,inform,O B-inform#age I-inform#age B-inform#weight
36kkg 1m40,inform,B-inform#weight B-inform#height
bé 1m 35 nặng 35kg aaj,inform,O B-inform#height I-inform#height O B-inform#weight O
bé cao 1m25 và nặng 19-20kg ạ,inform,O O B-inform#height O O B-inform#weight O
bé 14kg cao 100 b ạ,inform,O B-inform#weight O B-inform#height O O
màu trắng hết nhé,inform,B-inform#color I-inform#color O O
20kg cao 1m 1,inform,B-inform#weight O B-inform#height I-inform#height
"bạn ấy 3 tuổi . 14,5kg cao 98cm",inform,O O B-inform#age I-inform#age O B-inform#weight O B-inform#height
tầm 90cm ấy,inform,O B-inform#height O
cháu nặng 16kg,inform,O O B-inform#weight
"4-5 tuổi , 17kg cao 110 mặc size gì e",inform,B-inform#age I-inform#age O B-inform#weight O B-inform#height O O O O
"cho bé trai 5t , 19kg không ạ",inform,O B-inform#gender I-inform#gender B-inform#age O B-inform#weight O O
bé trai 14kg e ơ,inform,B-inform#gender I-inform#gender B-inform#weight O O
bé 7 tuổi năng 21kg a,inform,O B-inform#age I-inform#age O B-inform#weight O
cao 133 nặng 23 kg,inform,O B-inform#height O B-inform#weight I-inform#weight
"bé cao 1,1m nặng 22kg - sz 30kg 130cm bạn ạ",inform,O O B-inform#height O B-inform#weight O O B-inform#weight B-inform#height O O
"[quần]{""entity"": ""inform#object_type"", ""value"": ""quan""} cho bé 10 tuổi 34kg",inform,O O O O O O B-inform#age I-inform#age B-inform#weight
size 120- 130,inform,O O O
"bé lớp 5, 35kg hơn 1m3 ạ",inform,O O B-inform#weight I-inform#weight O B-inform#height O
cao 128cm,inform,O B-inform#height
mình muốn chọn đồ haloween cho bé gái 5 tuổi - 19kg và bé trai 8 tuổi - 36kg,inform,O O O O B-inform#season O B-inform#gender I-inform#gender B-inform#age I-inform#age O B-inform#weight O B-inform#gender I-inform#gender B-inform#age I-inform#age O B-inform#weight
size m ak,inform,O O O
1. nam - 1m nặng 25kg\n2. nữ - 1.4m nặng 35kg\n3. nữ - 1.3 m nặng 45kg,inform,O B-inform#gender O B-inform#height O B-inform#weight B-inform#gender O B-inform#height O B-inform#weight B-inform#gender O B-inform#height I-inform#height O B-inform#weight
vs váy trắng,inform,O B-inform#object_type B-inform#color
nhầm. 25kg ạ,inform,O B-inform#weight O
bé gái b ạ,inform,B-inform#gender I-inform#gender O O
"[bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} malificient size 10t",inform,O O O O O O B-inform#age
"c đang muốn tìm áo cho bé trai , [sơ mi]{""entity"": ""inform#object_type"", ""value"": ""ao_so_mi""} hoặc [polo]{""entity"": ""inform#object_type"", ""value"": ""ao_polo""} có cổ",inform,O O O O B-inform#object_type O B-inform#gender I-inform#gender O O O O O O O O O O O O O
"shop mình có mẫu [váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} nào màu trắng",inform,O O O O O O O O O B-inform#color I-inform#color
và 1 hộp size m,inform,O O O O O
bé 23 kg,inform,O B-inform#weight I-inform#weight
"c muốn mua [quần đùi]{""entity"": ""inform#object_type"", ""value"": ""quan""} cho bé gái",inform,O O O O O O O O O B-inform#gender I-inform#gender
bé trai a,inform,B-inform#gender I-inform#gender O
sz cho bé 8 tuổi\ncao 133 nặng 23kg,inform,O O O B-inform#age I-inform#age O O B-inform#weight
em đang cần tìm 1 set đồ cho bé nam 1 tuổi,inform,O O O O O O O O B-inform#gender I-inform#gender B-inform#age I-inform#age
"[áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} cho bé trai",inform,O O O O O B-inform#gender I-inform#gender
bạn ý 20 kg,inform,O O B-inform#weight I-inform#weight
"mình muốn tìm [bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} này size 4",inform,O O O O O O O B-inform#mention O O
"mình muốn mua [quần]{""entity"": ""inform#object_type"", ""value"": ""quan""} mã hàng này size 3 ạ",inform,O O O O O O O O B-inform#mention I-inform#mention O O O
8 tuổi,inform,B-inform#age I-inform#age
"bé cao 1m3 năng 25kg , mẹ 55kg cao 1m6",inform,O O B-inform#height O B-inform#weight O O B-inform#weight O B-inform#height
tôi cần mua đồ cho bé,inform,O O O O O O
cho bé gái 26kg,inform,O B-inform#gender I-inform#gender B-inform#weight
nặng 20 kg,inform,O B-inform#weight I-inform#weight
"chị muốn mua 2 [bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} này cho bé 7t 30kg",inform,O O O O O O O O B-inform#mention O O B-inform#age B-inform#weight
bé nhà mình 7tuoi nặng 23kg ạ bé ko cao lắm,inform,O O O B-inform#age O B-inform#weight O O O O O
nang 25 kg,inform,O B-inform#weight I-inform#weight
35kg học lớp 4,inform,B-inform#weight O O O
bé gái 35kg 1m4,inform,B-inform#gender I-inform#gender B-inform#age B-inform#height
bé nhà mình 5t 16kg - size 40kg,inform,O O O B-inform#age B-inform#weight O O B-inform#weight
bé nhà mình cao 1.1m nặng 17kg,inform,O O O O B-inform#height O B-inform#weight
màu trắng có con bướm xanh đậm ý,inform,B-inform#color I-inform#color O O O O O O
mình muốn tìm áo dài cho bé trai 6 tuổi 26kg,inform,O O O B-inform#object_type I-inform#object_type O B-inform#gender I-inform#gender B-inform#age I-inform#age B-inform#weight
áo dài bé gái 3t còn có sẵn mẫu nào shop oi,inform,B-inform#object_type I-inform#object_type B-inform#gender I-inform#gender B-inform#age O O O O O O O
cho bé 5y nặng 20kg b ạ,inform,O O B-inform#age O B-inform#weight O O
23 cân,inform,B-inform#weight I-inform#weight
96cm nặng 14kg ạ,inform,B-inform#height O B-inform#weight O
c muốn hỏi bộ halo cho bé gái,inform,O O O B-inform#object_type I-inform#object_type O B-inform#gender I-inform#gender
và size bé 31kg cao m3 nhé,inform,O O O B-inform#weight O B-inform#height O
mink hỏi sz cho bé 22 kg,inform,O O O O O B-inform#weight I-inform#weight
bạn 130cm nặng 30kg e ạ,inform,O B-inform#height O B-inform#weight O O
"cho bé gái 10 tuổi 31kg , trai 14 tuổi 45kg .",inform,O B-inform#gender I-inform#gender B-inform#age I-inform#age B-inform#weight O B-inform#gender B-inform#age I-inform#age B-inform#weight O
"bé nhà mình 20 kg , 5t",inform,O O O B-inform#weight I-inform#weight O B-inform#age
m muốn mua khẩu trang,inform,O O O O O
mình muốn mua cho bé 17kg cao 102cm,inform,O O O O O B-inform#weight O B-inform#height
con e 7 tuổi rùi a,inform,O O B-inform#age I-inform#age O O
"bé 4,5t nặng 17kg",inform,O B-inform#age O B-inform#weight
cho m xem mẫu quần áo của trẻ 5t vs mẫu trẻ 2t,inform,O O O O B-inform#object_type I-inform#object_type O O B-inform#age O O O B-inform#age
e cho c xem màu đỏ vs,inform,O O O O B-inform#color I-inform#color O
mình muốn xem cho bé trai 7 tuổi và bé gái 11 tuỏi cơ.,inform,O O O O B-inform#gender I-inform#gender B-inform#age I-inform#age O B-inform#gender I-inform#gender B-inform#age I-inform#age O
bé nhà chị cao 105cm,inform,O O O O B-inform#height
nặng 16 kg,inform,O B-inform#weight I-inform#weight
nặng 13kg ạ,inform,O B-inform#weight O
17kg m05,inform,B-inform#weight B-inform#height
28kg,inform,B-inform#weight
bé nhà mình 11.4 kg cao 88-89 cm,inform,O O O B-inform#weight I-inform#weight O B-inform#height I-inform#height
35kg ạ,inform,B-inform#weight O
"3 tuổi 24kg mông 72, đũng tầm 24-25cm",inform,B-inform#age I-inform#age B-inform#weight O O O O O
mặc size 8,inform,O O O
1m05 18kg,inform,B-inform#height B-inform#weight
"bé 3y,13kg",inform,O B-inform#weight
nặng 19kg cao 1m10,inform,O B-inform#weight O B-inform#height
bé nhà chị cao 1 m20 nặng 32kg,inform,O O O O B-inform#height I-inform#height O B-inform#weight
và bộ này cho bé gái 2.5 tuổi tầm hơn 13kg,inform,O B-inform#object_type B-inform#mention O B-inform#gender I-inform#gender B-inform#age I-inform#age O O B-inform#age
bé nhà mình 20kg cao 115m,inform,O O O B-inform#weight O B-inform#height
bạn nhà chị cao 120cm nặng 26kg,inform,O O O O B-inform#height O B-inform#weight
thế bé nhà c 12t hơn 40kg rồi,inform,O O O O B-inform#age O B-inform#weight O
cao 1m29 nặng 26kg bạn nhé,inform,O B-inform#height O B-inform#weight O O
bé nhà mih 14kg,inform,O O O B-inform#weight
"bé nhà mình 5 tuổi cao 108cm nặng 18,5kg bạn ah",inform,O O O B-inform#age I-inform#age O B-inform#height O B-inform#weight O O
bé 5 tuổi 102 cm 15.3 kg,inform,O B-inform#age I-inform#age B-inform#height I-inform#height B-inform#weight I-inform#weight
be gai nha e 14kg,inform,B-inform#gender I-inform#gender O O B-inform#weight
mẫu bé gái 3-4-5 tuổi,inform,O B-inform#gender I-inform#gender B-inform#age I-inform#age
"chị muốn hỏi mình có [áo sơ mi]{""entity"": ""inform#object_type"", ""value"": ""ao_so_mi""} trắng",inform,O O O O O O O O O O O B-inform#color
chị muốn mua cho bé 4 tuổi 18kg,inform,O O O O O B-inform#age I-inform#age B-inform#weight
1 siz 3 tuổi và 1 siz 8 tuôi ah,inform,O O B-inform#age I-inform#age O O O B-inform#age I-inform#age O
size cho bé 4y nặng 19kg,inform,O O O B-inform#age O B-inform#weight
cháu nhà mình nặng 35 kg cao 1.30,inform,O O O O B-inform#weight I-inform#weight O B-inform#height
"bé 2,5 tuổi",inform,O B-inform#age I-inform#age
cao 1.3m,inform,O B-inform#height
shop cho m xin mẫu áo dài cho bé trai 2 -3 tuổi đc k,inform,O O O O O B-inform#object_type I-inform#object_type O B-inform#gender I-inform#gender B-inform#age I-inform#age I-inform#age O O
bé nhà m 11kg,inform,O O O B-inform#weight
m tìm váy xuông cho bé gái,inform,O O B-inform#object_type I-inform#object_type O B-inform#gender I-inform#gender
mìn hỏi 2bộnayf cho bé 3 tuổi 13kg và bé 7tuoi 26kg,inform,O O O O O B-inform#age I-inform#age B-inform#weight O O B-inform#age B-inform#weight
shop ơi cho m hỏi mẫu áo dài cho bé 10kg an,inform,O O O O O O B-inform#object_type I-inform#object_type O O B-inform#weight O
bé 30kg 6t,inform,O B-inform#weight B-inform#age
cho mình mẫu áo dài mẹ và bé trai,inform,O O O B-inform#object_type I-inform#object_type O O B-inform#gender I-inform#gender
"mình cần mua đồ [bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} cho bé gái 12tuoi",inform,O O O O O O O O O B-inform#gender I-inform#gender B-inform#age
bé c 3 tuổi 14kg,inform,O O B-inform#age I-inform#age B-inform#weight
bé cao 1m2,inform,O O B-inform#height
áo dài này cho bé 4 và 6 tuổi,inform,B-inform#object_type I-inform#object_type B-inform#mention O O B-inform#age I-inform#age I-inform#age I-inform#age
37kg 1m40,inform,B-inform#weight B-inform#height
bé nhà mình 6 tuổi,inform,O O O B-inform#age I-inform#age
bé nhà e 5 tuổi nặng 17kg,inform,O O O B-inform#age I-inform#age O B-inform#weight
cao 1m35,inform,O B-inform#height
30kg,inform,B-inform#weight
1 bé cao 1.3m nặng 33 kg,inform,O O O B-inform#height O B-inform#weight I-inform#weight
cho bé 15kg 4 tuổi,inform,O O B-inform#age B-inform#age I-inform#age
bé nhà mình cao 146cm nặng 32kg,inform,O O O O B-inform#height O B-inform#weight
con cao m53 nặng 42 kg,inform,O O B-inform#height O B-inform#weight I-inform#weight
18kg và 19kg,inform,B-inform#weight O B-inform#weight
"20kg cao 1,1m",inform,B-inform#weight O B-inform#height
là 9 tuổi đó ah bạn,inform,O B-inform#age I-inform#age O O O
cho mình xin mẫu áo dài,inform,O O O O B-inform#object_type I-inform#object_type
bé trai 17kg,inform,B-inform#gender I-inform#gender B-inform#weight
cao 145cm,inform,O B-inform#height
1m38 nang 35kg em,inform,B-inform#height O B-inform#weight O
"bạn 35kg cao 1m45 , 13 tuổi",inform,O B-inform#weight O B-inform#height O B-inform#age I-inform#age
nặng 16kg,inform,O B-inform#weight
dạ cho e hỏi 2 mẫu quan cho bé trai 40kg k ạ?,inform,O O O O O O B-inform#object_type O B-inform#gender I-inform#gender B-inform#weight O O
cao 1m25 nặng 25kg,inform,O B-inform#height O B-inform#weight
bé 16kg,inform,O B-inform#weight
nặng 33 kg,inform,O B-inform#weight I-inform#weight
mình hỏi set bé trai ạ,inform,O O B-inform#object_type B-inform#gender I-inform#gender O
16 cân,inform,B-inform#weight I-inform#weight
mình muốn mua cho bé 5 tuổi 22kg cao 1m1,inform,O O O O O B-inform#age I-inform#age B-inform#weight O B-inform#height
size 13-14t,inform,O B-inform#age
"[bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} con gái cho bé nặng 27kg , cao 113cm",inform,O O O O B-inform#gender I-inform#gender O O O B-inform#weight O O B-inform#height
2 cái tiếp theo cho bé 9 tuổi,inform,O O O O O O B-inform#age I-inform#age
trai 135cm nặng 40kg,inform,B-inform#gender B-inform#height O B-inform#weight
85cm 13kg,inform,B-inform#height B-inform#weight
gửi cho t xin mấy mẫu bộ thu mặc nhà cho bé trai 6 tuổi,inform,O O O O O O O O O O O B-inform#gender I-inform#gender B-inform#age I-inform#age
"bé 6y cao 1,16cm nặng 20,5kg",inform,O B-inform#age O B-inform#height O B-inform#weight
bé nhà chị cao 107cm nặng 17.5kg,inform,O O O O B-inform#height O B-inform#weight
với 130cm nặng 28 kg,inform,O B-inform#height O B-inform#weight I-inform#weight
mình hỏi cho bé năg 24kg cao 120cm,inform,O O O O O B-inform#weight O B-inform#height
nam 38kg,inform,B-inform#gender B-inform#weight
bé 7 tuổi 19 kg 125 cm,inform,O B-inform#age I-inform#age B-inform#weight I-inform#weight B-inform#height I-inform#height
bé 17kg,inform,O B-inform#weight
be 120 cm cân 26 ký nhe,inform,O B-inform#height I-inform#height O B-inform#weight I-inform#weight O
dài khoảng 100cm,inform,O O B-inform#height
bạn nhà c 15kg. 100cm,inform,O O O B-inform#weight B-inform#height
"3 tuổi,15kg á",inform,B-inform#age B-inform#weight O
125cm 24kg b nhé,inform,B-inform#height B-inform#weight O O
shop cho mình mua áo dài,inform,O O O O B-inform#object_type I-inform#object_type
bé 7t 26kg b ah,inform,O B-inform#age B-inform#weight O O
coá size 7 tuổi ko shop,inform,O O B-inform#age I-inform#age O O
bé 2t 12kg 92cm,inform,O B-inform#age B-inform#weight B-inform#height
"bé trai 46 kg , cao 1m45",inform,B-inform#gender I-inform#gender B-inform#weight I-inform#weight O O B-inform#height
bé 6 tuổi . nặng 30kg cao 110cm,inform,O B-inform#age I-inform#age O O B-inform#weight O B-inform#height
"bé nặng 35kg cao 1,5m",inform,O O B-inform#weight O B-inform#height
mình nhờ shop tư vấn set đồng phục áo sơ mi quần sooc cho bé trai 28kg ^^,inform,O O O O O O O O B-inform#object_type I-inform#object_type I-inform#object_type B-inform#object_type I-inform#object_type O B-inform#gender I-inform#gender B-inform#weight O
"bé nhà c 25kg , 106cm",inform,O O O B-inform#weight O B-inform#height
hiện tại mình chỉ có nhu cầu áo dài,inform,O O O O O O O B-inform#object_type I-inform#object_type
"1.2m , nặng 26kg bạn ạ",inform,B-inform#gender O O B-inform#weight O O
size 10,inform,O O
"cho mình hỏi các mẫu [váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} hè cho bé 12t thì có ở cửa hàng nào hả bạn?",inform,O O O O O O O O O O O O B-inform#age O O O O O O O O
bé 6 tuổi cao tầm m2 20kg,inform,O B-inform#age I-inform#age O O B-inform#height B-inform#weight
14kg,inform,B-inform#weight
nặng 53kg,inform,O B-inform#weight
cao117,inform,B-inform#height
cao 100 nặng 13kg ạ,inform,O O O B-inform#weight O
25-28 kg bạn ơi,inform,B-inform#weight I-inform#weight O O
"bé nhà mình 5 tuổi 26kg mập, có bụng",inform,O O O B-inform#age I-inform#age B-inform#weight O O O
cao 1m 13kg e,inform,O B-inform#height B-inform#weight O
1m25 nặng 24kg,inform,B-inform#height O B-inform#weight
"cho c xin mẫu [áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} và [váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} cho bé 12 tuổi 43kg cao 1,43m",inform,O O O O O O O O O O O O O O O B-inform#age I-inform#age B-inform#weight O B-inform#height
"[bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} này có cho bé 18kg k ạ",inform,O O O O B-inform#mention O O O B-inform#weight O O
"size cho bạn trai cao 1,45 nặng 30kg",inform,O O B-inform#gender I-inform#gender O B-inform#height O B-inform#weight
bé cao m35 nặng 29kg,inform,O O B-inform#height O B-inform#weight
bé trai : 13kg,inform,B-inform#gender I-inform#gender O B-inform#weight
1m2 nặng 40kg ạ,inform,B-inform#height O B-inform#weight O
"chị muốn mua [bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} này",inform,O O O O O O O B-inform#mention
bé cao 1m30 nặng 31 kg,inform,O O B-inform#height O B-inform#weight I-inform#weight
"ib [áo len]{""entity"": ""inform#object_type"", ""value"": ""ao_len""} vàng ạ",inform,O O O O O O B-inform#color O
bé 22kg 1m25,inform,O B-inform#weight B-inform#height
bé 10 tuổi nặng 27kg,inform,O B-inform#age I-inform#age O B-inform#weight
"[quần]{""entity"": ""inform#object_type"", ""value"": ""quan""} cho bé trai 7t shop nhé.",inform,O O O O O B-inform#gender I-inform#gender B-inform#age O O
"gửi m một mẫu [váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} km cho bé 3 tuổi",inform,O O O O O O O O O O O B-inform#age I-inform#age
bé cao 1m1 nặng 17kg,inform,O O B-inform#height O B-inform#weight
con 130cm nặng 28kg\ncon 110cm nặng 19kg nữ,inform,O B-inform#height O B-inform#weight B-inform#height O B-inform#weight B-inform#gender
bé 5 tuổi nặng 21 kg,inform,O B-inform#age I-inform#age O B-inform#weight I-inform#weight
"c muốn mua [yếm]{""entity"": ""inform#object_type"", ""value"": ""yem""} và [áo]{""entity"": ""inform#object_type"", ""value"": ""ao""}",inform,O O O O O O O O O O O O
20kg,inform,B-inform#weight
"bé: 1m32 , nặng 28kg\nmẹ: 1m63 , nặng 55kg",inform,O B-inform#height O O B-inform#weight B-inform#height O O B-inform#weight
cao 104 nặng 15kg ạ,inform,O B-inform#height O B-inform#weight O
và bé 9 tuổi 32kg,inform,O O B-inform#age I-inform#age B-inform#weight
màu xanh nhé,inform,B-inform#color I-inform#color O
"mình đang muốn hỏi mã [váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} này",inform,O O O O O O O O O B-inform#mention
"bé nhà mình 1 bé 2 t , 1 bé hơn 4t",inform,O O O O O B-inform#age I-inform#age O O O O B-inform#age
bé nhà mình 7t 22 kg a,inform,O O O B-inform#age B-inform#weight I-inform#weight O
"cao 1m25 , nặng 25kg",inform,O B-inform#height O O B-inform#weight
bé nhà e 4y 13kg ạ,inform,O O O B-inform#age B-inform#weight O
"1 [áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} 26kg",inform,O O O O O B-inform#weight
cho bé 23 kg k,inform,O O B-inform#weight I-inform#weight O
cho mình bộ hồng nữa nhé,inform,O O O B-inform#color O O
"mẹ cao 150cm nặng 46,5kg\ncon gái nặng 37kg cao 140cm",inform,O O B-inform#height O B-inform#gender I-inform#gender O B-inform#weight O B-inform#height
cho m mỗi size 1 set nhé,inform,O O O O O O O
nặng 25 kg,inform,O B-inform#weight I-inform#weight
bé 4 tuổi c ak,inform,O B-inform#age I-inform#age O O
bé nhà c 10 tuổi rồi,inform,O O O B-inform#age I-inform#age O
cân nặng 30 kg\ncao 135cm,inform,O O B-inform#weight I-inform#weight B-inform#height
sz cho bé 5 tuổi cao 1m2 nặng 24kg,inform,O O O B-inform#age I-inform#age O B-inform#height O B-inform#weight
"cho bé cao 1,50m . nặng 40 kg",inform,O O O B-inform#height O O B-inform#weight I-inform#weight
cho bạn 14 tháng 10-11 kg ko,inform,O O B-inform#age I-inform#age B-inform#weight I-inform#weight O
9kg,inform,B-inform#weight
10-11kg,inform,B-inform#weight
"bạn 4,5 tuổi 18-20 kg",inform,O B-inform#age I-inform#age B-inform#weight I-inform#weight
"1 [áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} 16kg",inform,O O O O O B-inform#weight
bé nhà chị cao 1.03,inform,O O O O B-inform#height
cao 100 cm,inform,O B-inform#height I-inform#height
be minh 23kg,inform,O O B-inform#weight
nặng 16kg em,inform,O B-inform#weight O
bé nhà mình 11 tuổi rồi ah,inform,O O O B-inform#age I-inform#age O O
cho mình xin mẫu bé trai hơn 3y 18kg ạ,inform,O O O O B-inform#gender I-inform#gender O B-inform#age B-inform#weight O
"tư vấn c một số đồ [bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} cho bé gái 12tuoi ko ?",inform,O O O O O O O O O O O B-inform#gender I-inform#gender B-inform#age O O
"cho mình 3 [bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} này của bé 7 tuổi với",inform,O O O O O O O B-inform#mention O O B-inform#age I-inform#age O
bé 35kg 135cm,inform,O B-inform#weight B-inform#height
size 9,inform,O O
m muốn xem mẫu sale cho bé trai 14 tuổi,inform,O O O O O O B-inform#gender I-inform#gender B-inform#age I-inform#age
1m3 nặng 28kg,inform,B-inform#height O B-inform#weight
bé nha minh 26kg,inform,O O O B-inform#weight
bé cao 1m 33 nặng 28 kg,inform,O O B-inform#height I-inform#height O B-inform#weight I-inform#weight
và bé 3 tuổi 15kg m,inform,O O B-inform#age I-inform#age B-inform#weight O
cao gần 1m1 em ạ,inform,O O B-inform#height O O
con nhà e tám tuổi nặng 17 kg,inform,O O O B-inform#age I-inform#age O B-inform#weight I-inform#weight
bé nhà chị cao 140 cm nặng 36 kg,inform,O O O O B-inform#height I-inform#height O B-inform#weight I-inform#weight
bé 2 tuổi nặng khoảng 12 kg,inform,O B-inform#age I-inform#age O O B-inform#weight I-inform#weight
nặng 37kg cao 1.35,inform,O B-inform#weight O B-inform#height
cao 90cm nặng 13kg,inform,O B-inform#height O B-inform#weight
"cao 1,25m nặng 32 kg",inform,O B-inform#height O B-inform#weight I-inform#weight
"bé dc 25kg , cao 1.2m",inform,O O B-inform#weight O O B-inform#height
6 tuổi,inform,B-inform#age I-inform#age
cả màu nhạt này nưa,inform,O B-inform#color I-inform#color B-inform#mention O
size s,inform,O O
bé trai 12y bé gái 5y,inform,B-inform#gender I-inform#gender B-inform#age B-inform#gender I-inform#gender B-inform#age
con 8 tuổi,inform,O B-inform#age I-inform#age
dạ 22kg ạ,inform,O B-inform#weight O
bé gái 7 t,inform,O O B-inform#age I-inform#age
cao 1m17,inform,O B-inform#height
13 cân cao 105,inform,B-inform#weight I-inform#weight O B-inform#height
1m45 44 kg bé gái,inform,B-inform#height B-inform#weight I-inform#weight B-inform#gender I-inform#gender
cao gần 1m3 nặng 20 mấy,inform,O O B-inform#height O B-inform#weight O
bé 22 kg 120cm em,inform,O B-inform#weight I-inform#weight B-inform#height O
loại cho gái 35-36kg,inform,O O B-inform#gender B-inform#gender
cho mình xin các mẫu của bé gái 40kg shop ơi,inform,O O O O O O B-inform#gender I-inform#gender B-inform#weight O O
1m35-27kg ạ,inform,B-inform#weight O
1 cái size 5 đó em,inform,O O O O O O
2 bé gái e nhé,inform,O B-inform#gender I-inform#gender O O
và bộ áo canh cho bạn trai 3 tuổi,inform,O B-inform#object_type I-inform#object_type I-inform#object_type O B-inform#gender I-inform#gender B-inform#age I-inform#age
size 24m cho bé 11-12kg,inform,O B-inform#age O O B-inform#weight
3 tuổi,inform,B-inform#age I-inform#age
bé 29kg,inform,O B-inform#weight
bạn ý cao 1m35 nặng 25kg,inform,O O O B-inform#height O B-inform#weight
bé 7 tuổi 31 kg sz nào e,inform,O B-inform#age I-inform#age B-inform#weight I-inform#weight O O O
bé khoảng 24 kg 7 t cao 120cm,inform,O O B-inform#weight I-inform#weight B-inform#age I-inform#age O B-inform#height
bé nặng 26kg,inform,O O B-inform#weight
bé trai hơn 5 tuổi b ơi,inform,B-inform#gender I-inform#gender O B-inform#age I-inform#age O O
cho bé 7t nặng 21kg cao 1m15,inform,O O B-inform#age O B-inform#weight O B-inform#height
nặng 25kg,inform,O B-inform#weight
ad ơi. t muốn mua 1 bộ trẻ em nam tầm 1 tuổi,inform,O O O O O O O O O B-inform#gender O B-inform#age I-inform#age
mình xin thông tin bộ cho bé gái 13kg,inform,O O O O O O B-inform#gender I-inform#gender B-inform#weight
cho bé gái 12 tuổi,inform,O B-inform#gender I-inform#gender B-inform#age I-inform#age
bé gai 130cm 25kg còn btrai 35kg 140cm,inform,B-inform#gender I-inform#gender B-inform#height B-inform#weight O B-inform#gender B-inform#weight B-inform#height
bé đc 17kg bạn ạ,inform,O O B-inform#weight O O
37kg,inform,B-inform#weight
17 và 23kg e,inform,B-inform#weight O B-inform#weight O
bạn trai 6 tuổi 1m25 33kg,inform,O O B-inform#age I-inform#age B-inform#height B-inform#weight
mình đặt 1 hộp size s và 1 hộp size l,inform,O O O O O O O O O O O
size 4-5h,inform,O O
nặng 26. 27kg,inform,O B-inform#weight I-inform#weight
bạn ơi minh muốn mua đồ halloween cho bé trai 11kg ạ,inform,O O O O O O O O B-inform#gender I-inform#gender B-inform#weight O
11kg ah,inform,B-inform#weight O
bé 10kg,inform,O B-inform#weight
"bé cao 138cm,nặng 29kg",inform,O O B-inform#height B-inform#weight
bé cao 1 m 3 năng 25 kg,inform,O O B-inform#height I-inform#height I-inform#height O B-inform#weight I-inform#weight
bé nhà mình nặng 36.5 kg,inform,O O O O B-inform#weight I-inform#weight
4 tuổi 15kg,inform,B-inform#age I-inform#age B-inform#weight
cao 1m45 . nặng 45kg bùng to 83cm,inform,O B-inform#height O O B-inform#weight O O O
khoảng 100cm,inform,O B-inform#height
set maca rồng,inform,O O O
1m40-27kg ạ,inform,B-inform#weight O
m 53 kg con 8year,inform,O B-inform#weight I-inform#weight O B-inform#age
bên mình có áo dài cho bé chưa ad ơi?,inform,O O O B-inform#object_type I-inform#object_type O O O O O
cân nặng: 25,inform,O O B-inform#weight
bé nhà mình cao khoảng 100cm,inform,O O O O O B-inform#height
"cho bạn cao 1,5m nặng 50kg",inform,O O O B-inform#height O B-inform#weight
"bé cao 1,4m nặng 35kg",inform,O O B-inform#height O B-inform#weight
bé cao 90cm nặng 12kg,inform,O O B-inform#height O B-inform#weight
bé cao 1.35m nặng 35kg e ai,inform,O O B-inform#height O B-inform#weight O O
"xin chào, mình muốn hỏi [bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} cho bé trai cỡ 140",inform,O O O O O O O O O O B-inform#gender I-inform#gender O O
bé gái 25 kg,inform,B-inform#gender I-inform#gender B-inform#weight I-inform#weight
"có [bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} này cho trẻ 11tuoi k, cao 1m34 28kg",inform,O O O O O B-inform#mention O O B-inform#age O O B-inform#height B-inform#weight
bé nhà chị nặng 13 kg,inform,O O O O B-inform#weight I-inform#weight
"cho chị mua [bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} này cho bé 30kg",inform,O O O O O O O B-inform#mention O O B-inform#weight
đk 11kg,inform,O B-inform#weight
m hỏi bộ cho bé gai 1.50m 40kg lớp 7,inform,O O O O B-inform#gender I-inform#gender B-inform#height B-inform#age O O
cao 1m2 và 25kg,inform,O B-inform#height O B-inform#weight
21 kg,inform,B-inform#weight I-inform#weight
bé nhà mình cao khoảng 1m1 nặng 35kg,inform,O O O O O B-inform#height O B-inform#weight
"cao 1m25 , nặng 32-35kg",inform,O B-inform#height O O B-inform#weight
"[quần soc]{""entity"": ""inform#object_type"", ""value"": ""quan_sooc""} bò bé gái 6t 23kg",inform,O O O O O B-inform#material B-inform#gender I-inform#gender B-inform#age B-inform#weight
cao 1m20 nặng 23-24kg,inform,O B-inform#height O B-inform#weight
